"","region","population","sex","age","education","income","statusquo","vote"
"45","North",125000,"Female","55-64","Primary",35000,0.79952,"Yes"
"46","North",125000,"Female","18-25","Secondary",7500,0.53177,"Undecided"
"47","North",125000,"Female","65+","Primary",15000,1.48894,"Yes"
"48","North",125000,"Male","35-44","Secondary",35000,0.49674,"Yes"
"49","North",125000,"Male","65+","Primary",35000,1.32695,"Yes"
"50","North",125000,"Female","18-25","Primary",35000,1.54808,"Yes"
"51","North",125000,"Female","45-54","Primary",7500,1.33168,"Yes"
"52","North",125000,"Female","18-25","Secondary",35000,1.03408,"Yes"
"53","North",125000,"Male","65+","Primary",35000,0.87984,"Undecided"
"54","North",125000,"Male","18-25","Secondary",75000,-0.42448,"Abstain"
"55","North",125000,"Male","35-44","Secondary",15000,-1.04016,"No"
"56","North",125000,"Male","26-34","Post Secondary",125000,-1.10088,"No"
"57","North",125000,"Male","18-25","Secondary",35000,-0.37211,"Undecided"
"58","North",125000,"Female","45-54","Secondary",35000,1.24649,"Yes"
"59","North",125000,"Female","35-44","Secondary",35000,1.59577,"Yes"
"60","North",125000,"Male","45-54","Secondary",75000,1.34999,"Yes"
"61","North",125000,"Male","26-34","Post Secondary",75000,1.33168,"Yes"
"62","North",125000,"Female","35-44","Secondary",15000,0.80845,"Yes"
"63","North",125000,"Female","18-25","Secondary",35000,-0.48981,"Undecided"
"64","North",125000,"Female","35-44","Primary",15000,1.04409,"Yes"
"65","North",125000,"Male","45-54","Primary",15000,-0.83203,"Undecided"
"66","North",125000,"Female","26-34","Primary",35000,1.5877,"Yes"
"67","North",125000,"Female","45-54","Primary",15000,0.90506,"Undecided"
"68","North",125000,"Male","18-25","Secondary",7500,0.52845,"No"
"69","North",125000,"Female","26-34","Secondary",35000,1.45329,"Yes"
"70","North",125000,"Male","65+","Post Secondary",75000,0.23095,"Abstain"
"71","North",125000,"Male","35-44","Post Secondary",35000,-0.52639,"No"
"72","North",125000,"Male","18-25","Post Secondary",35000,-1.10706,"No"
"73","North",125000,"Female","35-44","Secondary",75000,1.06142,"Yes"
"74","North",125000,"Female","18-25","Post Secondary",35000,-1.30351,"No"
"75","North",125000,"Male","35-44","Post Secondary",75000,0.27293,"Undecided"
"76","North",125000,"Female","26-34","Secondary",NA,-0.85035,"No"
"77","North",125000,"Female","35-44","Secondary",75000,0.18447,"Abstain"
"78","North",125000,"Male","35-44","Post Secondary",35000,-1.29617,"No"
"79","North",125000,"Male","18-25","Secondary",35000,-0.02965,"No"
"80","North",125000,"Male","26-34","Post Secondary",75000,1.48284,"Yes"
"81","North",125000,"Male","35-44","Secondary",15000,-0.59145,"Undecided"
"82","North",125000,"Male","45-54","Primary",35000,-1.1921,"No"
"83","North",125000,"Male","45-54","Primary",35000,1.02326,"Yes"
"84","North",125000,"Female","26-34","Secondary",75000,-0.99223,"No"
"85","North",125000,"Male","18-25","Post Secondary",35000,-1.10784,"Yes"
"86","North",125000,"Female","45-54","Secondary",125000,1.5877,"Yes"
"87","North",125000,"Female","18-25","Secondary",7500,-0.14772,"Undecided"
"88","North",125000,"Female","45-54","Primary",7500,0.22433,"Undecided"
"89","North",125000,"Male","18-25","Secondary",15000,-1.12468,"No"
"90","North",125000,"Male","65+","Primary",7500,0.11359,"Undecided"
"91","North",125000,"Female","35-44","Secondary",35000,-1.14579,"No"
"92","North",125000,"Male","65+","Primary",35000,1.02326,"Yes"
"93","North",125000,"Female","18-25","Primary",7500,-1.18567,"No"
"94","North",125000,"Female","18-25","Secondary",35000,1.05618,"Yes"
"95","North",125000,"Male","18-25","Post Secondary",15000,-0.7115,"Abstain"
"96","North",125000,"Female","45-54","Primary",75000,1.59943,"Yes"
"97","North",125000,"Female","35-44","Primary",15000,0.28099,"Undecided"
"98","North",125000,"Female","26-34","Primary",2500,0.10807,NA
"99","North",125000,"Male","26-34","Secondary",35000,-0.52335,"Abstain"
"100","North",125000,"Male","55-64","Secondary",35000,-0.66752,"No"
"101","North",250000,"Female","45-54","Primary",15000,-0.97742,"Yes"
"102","North",250000,"Male","45-54","Primary",2500,0.71898,"No"
"103","North",250000,"Male","18-25","Post Secondary",15000,0.67533,"Undecided"
"104","North",250000,"Male","55-64","Primary",15000,1.27496,"Undecided"
"105","North",250000,"Female","18-25","Secondary",125000,0.15214,"No"
"106","North",250000,"Female","65+","Secondary",7500,-1.29617,"No"
"107","North",250000,"Male","26-34","Secondary",7500,-0.71641,"No"
"108","North",250000,"Female","18-25","Primary",7500,-1.30366,"No"
"109","North",250000,"Female","26-34","Primary",7500,-0.122,"Yes"
"110","North",250000,"Male","45-54","Primary",75000,-1.17441,"No"
"111","North",250000,"Male","65+","Primary",15000,-0.70463,"Undecided"
"112","North",250000,"Female","26-34","Secondary",7500,0.00744,"Undecided"
"113","North",250000,"Female","45-54","Secondary",NA,0.15489,NA
"114","North",250000,"Male","18-25","Secondary",15000,-0.71653,"No"
"115","North",250000,"Male","65+","Primary",7500,1.54808,"Yes"
"116","North",250000,"Male","18-25","Secondary",35000,-0.78334,"No"
"117","North",250000,"Male","35-44","Post Secondary",35000,0.25602,"Undecided"
"118","North",250000,"Male","45-54","Secondary",35000,-0.30605,NA
"119","North",250000,"Female","26-34","Post Secondary",75000,1.23773,"Abstain"
"120","North",250000,"Female","26-34","Primary",35000,1.43203,"Yes"
"121","North",250000,"Female","35-44","Secondary",35000,-1.29617,"No"
"122","North",250000,"Female","45-54","Secondary",125000,1.5877,"Yes"
"123","North",250000,"Male","65+","Secondary",75000,1.25462,"Yes"
"124","North",250000,"Male","18-25","Post Secondary",125000,-0.42219,"No"
"125","North",250000,"Female","45-54","Secondary",75000,-0.12077,"No"
"126","North",250000,"Female","18-25","Post Secondary",35000,-0.27527,"No"
"127","North",250000,"Female","65+","Primary",75000,1.39831,"Yes"
"128","North",250000,"Male","26-34","Secondary",75000,0.09897,"Undecided"
"129","North",250000,"Female","45-54","Primary",35000,-1.29617,"No"
"130","North",250000,"Male","35-44","Post Secondary",75000,1.45861,"Yes"
"131","North",250000,"Male","26-34","Secondary",7500,-1.29617,"No"
"132","North",250000,"Male","45-54","Primary",35000,-1.03168,"No"
"133","North",250000,"Female","55-64","Secondary",15000,-1.29617,"No"
"134","North",250000,"Female","45-54","Primary",35000,0.6853,"Yes"
"135","North",250000,"Female","18-25","Primary",7500,-1.2202,"No"
"136","North",250000,"Female","26-34","Post Secondary",35000,-1.29617,"No"
"137","North",250000,"Male","18-25","Post Secondary",35000,-1.01268,"No"
"138","North",250000,"Female","55-64","Secondary",35000,-0.38049,"No"
"139","North",250000,"Female","35-44","Secondary",35000,-0.46709,"Undecided"
"140","North",250000,"Male","35-44","Post Secondary",15000,-0.88584,"No"
"141","North",250000,"Male","18-25","Post Secondary",75000,-1.21974,"No"
"142","North",250000,"Male","35-44","Secondary",35000,-0.40254,"No"
"143","North",250000,"Female","18-25","Secondary",NA,-1.22081,"No"
"144","North",250000,"Female","35-44","Secondary",7500,1.40604,"Yes"
"145","North",250000,"Female","65+","Post Secondary",125000,-0.9981,"No"
"146","North",250000,"Female","26-34","Post Secondary",75000,1.48284,"Yes"
"147","North",250000,"Female","55-64","Secondary",75000,1.44104,"Yes"
"148","North",250000,"Female","55-64","Secondary",35000,1.5877,"Yes"
"149","North",250000,"Male","18-25","Secondary",15000,-0.70887,"Abstain"
"150","North",250000,"Male","65+","Primary",7500,-0.36585,"No"
"151","North",250000,"Female","18-25","Post Secondary",35000,1.27926,"Yes"
"152","North",250000,"Female","26-34","Post Secondary",75000,-1.10017,"No"
"153","North",250000,"Female","35-44","Post Secondary",75000,1.44183,"Yes"
"154","North",250000,"Male","45-54","Secondary",15000,-1.29617,"No"
"155","North",250000,"Male","35-44","Post Secondary",125000,-0.72892,"No"
"156","North",250000,"Female","26-34","Post Secondary",125000,1.4162,"Yes"
"157","North",250000,"Male","35-44","Primary",15000,0.41711,"No"
"158","North",250000,"Female","65+","Post Secondary",125000,1.44896,"Yes"
"159","North",250000,"Male","18-25","Post Secondary",35000,-1.25795,"No"
"160","North",250000,"Female","18-25","Secondary",35000,1.50986,"Yes"
"161","North",87500,"Male","35-44","Post Secondary",35000,-0.47135,"Abstain"
"162","North",87500,"Female","26-34","Primary",15000,1.60783,"Yes"
"163","North",87500,"Female","45-54","Primary",7500,1.51786,"Yes"
"164","North",87500,"Male","18-25","Primary",15000,-0.51949,"No"
"165","North",87500,"Female","26-34","Secondary",15000,-0.34236,"Abstain"
"166","North",87500,"Female","35-44","Primary",15000,1.54808,"Yes"
"167","North",87500,"Female","18-25","Secondary",15000,1.37129,"Yes"
"168","North",87500,"Male","35-44","Primary",15000,1.5877,"Yes"
"169","North",87500,"Male","26-34","Post Secondary",75000,1.36312,"Yes"
"170","North",87500,"Female","45-54","Primary",2500,1.59607,"Yes"
"171","North",87500,"Male","18-25","Secondary",15000,-1.10367,"No"
"172","North",87500,"Female","35-44","Post Secondary",35000,-0.71653,"No"
"173","North",87500,"Male","35-44","Secondary",15000,-1.03937,"No"
"174","North",87500,"Female","26-34","Secondary",2500,-1.14317,"No"
"175","North",87500,"Female","18-25","Secondary",35000,0.54901,"Yes"
"176","North",87500,"Female","26-34","Primary",15000,1.19006,"Undecided"
"177","North",87500,"Female","35-44","Secondary",7500,-0.6617,"No"
"178","North",87500,"Female","55-64","Primary",7500,1.4527,"Yes"
"179","North",87500,"Male","35-44","Secondary",75000,1.40361,"Yes"
"180","North",87500,"Male","18-25","Primary",35000,-0.12713,"Yes"
"181","North",45000,"Female","26-34","Secondary",35000,0.9475,"Yes"
"182","North",45000,"Female","45-54","Primary",15000,0.83473,"Undecided"
"183","North",45000,"Female","26-34","Secondary",15000,1.43653,"Yes"
"184","North",45000,"Male","18-25","Post Secondary",35000,0.32764,"Yes"
"185","North",45000,"Male","65+","Primary",75000,0.01309,NA
"186","North",45000,"Male","45-54","Primary",35000,1.56214,"Undecided"
"187","North",45000,"Female","55-64","Primary",7500,-0.78362,"Undecided"
"188","North",45000,"Female","45-54","Primary",15000,0.9948,"Yes"
"189","North",45000,"Male","26-34","Secondary",35000,-0.16227,"Abstain"
"190","North",45000,"Female","26-34","Post Secondary",35000,0.98196,"Yes"
"191","North",45000,"Male","18-25","Primary",15000,0.37411,"Yes"
"192","North",45000,"Female","18-25","Primary",15000,1.33395,"Yes"
"193","North",45000,"Female","35-44","Post Secondary",15000,-0.59827,"No"
"194","North",45000,"Female","18-25","Primary",15000,0.43403,"Yes"
"195","North",45000,"Male","45-54","Primary",7500,1.62138,"Yes"
"196","North",45000,"Male","65+","Secondary",2500,1.39445,"Abstain"
"197","North",45000,"Female","18-25","Primary",15000,1.5877,"Yes"
"198","North",45000,"Male","18-25","Secondary",15000,1.4156,"Yes"
"199","North",45000,"Female","45-54","Primary",NA,1.20211,"Yes"
"200","North",45000,"Female","65+","Primary",2500,-1.29617,"No"
"201","North",3750,"Male","55-64","Primary",75000,-0.38693,"No"
"202","North",3750,"Male","35-44","Post Secondary",35000,-0.58756,"No"
"203","North",3750,"Female","55-64","Secondary",15000,1.44401,"Undecided"
"204","North",3750,"Female","26-34","Secondary",35000,0.02178,"No"
"205","North",3750,"Male","26-34","Secondary",15000,-0.66899,"No"
"206","North",3750,"Male","55-64","Primary",35000,1.19563,"Yes"
"207","North",3750,"Male","18-25","Primary",15000,-0.04558,"No"
"208","North",3750,"Female","26-34","Secondary",2500,0.65137,"Yes"
"209","North",3750,"Female","45-54",NA,15000,0.57867,"Yes"
"210","North",3750,"Male","18-25","Secondary",15000,-0.95939,"No"
"211","North",3750,"Male","55-64","Primary",7500,1.41416,"Yes"
"212","North",3750,"Female","45-54","Primary",7500,1.21125,"Yes"
"213","North",3750,"Female","26-34","Primary",2500,1.50986,"Yes"
"214","North",3750,"Male","55-64","Primary",7500,0.98716,"Yes"
"215","North",3750,"Male","18-25","Primary",15000,1.05745,"Yes"
"216","North",3750,"Male","18-25","Secondary",15000,0.34737,"Yes"
"217","North",3750,"Female","45-54","Primary",7500,0.15444,"Yes"
"218","North",3750,"Male","65+","Primary",35000,-1.10356,"No"
"219","North",3750,"Female","18-25","Secondary",15000,1.05653,"Yes"
"220","North",3750,"Male","18-25","Primary",15000,0.0224,"Yes"
"221","North",125000,"Female","55-64","Post Secondary",35000,-0.82454,"Undecided"
"222","North",125000,"Male","26-34","Secondary",35000,-0.91124,"Yes"
"223","North",125000,"Female","45-54","Post Secondary",35000,-0.82983,"Yes"
"224","North",125000,"Male","55-64","Primary",15000,1.33246,"Undecided"
"225","North",125000,"Female","18-25","Secondary",15000,1.44853,"Yes"
"226","North",125000,"Female","55-64","Primary",7500,0.1502,"Undecided"
"227","North",125000,"Male","26-34","Post Secondary",7500,-0.76181,NA
"228","North",125000,"Female","35-44","Secondary",15000,-0.64763,"Undecided"
"229","North",125000,"Female","26-34","Secondary",35000,-1.07837,"No"
"230","North",125000,"Female","45-54","Secondary",7500,-0.78943,"Undecided"
"231","North",125000,"Female","26-34","Secondary",7500,0.29045,"Yes"
"232","North",125000,"Male","35-44","Secondary",15000,-0.89647,"No"
"233","North",125000,"Male","26-34","Post Secondary",35000,-1.29617,"No"
"234","North",125000,"Female","45-54","Primary",2500,-1.29617,"No"
"235","North",125000,"Male","18-25","Secondary",7500,-0.92377,"No"
"236","North",125000,"Male","26-34","Secondary",75000,-0.6018,"Yes"
"237","North",125000,"Female","26-34","Primary",15000,1.3646,"Abstain"
"238","North",125000,"Female","26-34","Primary",7500,0.57019,"Yes"
"239","North",125000,"Male","65+","Primary",7500,-0.18511,"Yes"
"240","North",125000,"Female","35-44","Primary",35000,1.51576,"Yes"
"241","North",125000,"Male","35-44","Secondary",7500,0.07104,"Abstain"
"242","North",125000,"Male","35-44","Secondary",7500,0.75719,"Yes"
"243","North",125000,"Female","18-25","Secondary",15000,-1.07861,"No"
"244","North",125000,"Female","45-54","Primary",15000,1.43653,"Yes"
"245","North",125000,"Male","18-25","Secondary",35000,0.00883,"Yes"
"246","North",125000,"Male","26-34","Secondary",35000,1.34829,"Yes"
"247","North",125000,"Female","18-25","Secondary",75000,-1.15231,"No"
"248","North",125000,"Male","35-44","Post Secondary",75000,1.01364,"Yes"
"249","North",125000,"Female","55-64","Primary",15000,0.23772,"Yes"
"250","North",125000,"Male","18-25","Post Secondary",NA,-0.72038,"No"
"251","North",125000,"Male","45-54","Primary",15000,-1.14049,NA
"252","North",125000,"Female","65+","Primary",15000,1.25145,"Yes"
"253","North",125000,"Female","45-54","Primary",35000,0.61995,"Undecided"
"254","North",125000,"Male","26-34","Secondary",35000,0.12409,"Abstain"
"255","North",125000,"Female","35-44","Primary",15000,-1.19054,"No"
"256","North",125000,"Female","26-34","Primary",15000,1.23505,"Yes"
"257","North",125000,"Female","35-44","Primary",15000,1.24225,"Yes"
"258","North",125000,"Male","18-25","Secondary",35000,-0.56293,"No"
"259","North",125000,"Female","55-64","Post Secondary",35000,-1.18011,"No"
"260","North",125000,"Male","55-64","Primary",15000,1.37738,"Yes"
"261","North",15000,"Male","55-64","Primary",7500,0.57069,"Abstain"
"262","North",15000,"Female","26-34","Primary",75000,-1.1401,"Abstain"
"263","North",15000,"Male","18-25","Post Secondary",35000,-0.89647,"No"
"264","North",15000,"Female","35-44","Primary",15000,-0.33039,"Undecided"
"265","North",15000,"Male","26-34","Secondary",35000,-0.95133,"Abstain"
"266","North",15000,"Male","45-54","Primary",15000,-1.03452,"Undecided"
"267","North",15000,"Female","26-34","Secondary",15000,0.29023,"Yes"
"268","North",15000,"Male","26-34","Primary",15000,-0.20566,"No"
"269","North",15000,"Female","26-34","Primary",35000,0.96777,"Yes"
"270","North",15000,"Female","26-34","Primary",15000,0.82724,"Yes"
"271","North",15000,"Female","26-34","Primary",15000,1.07644,"Yes"
"272","North",15000,"Male","65+","Primary",15000,-0.53327,"Undecided"
"273","North",15000,"Male","26-34","Primary",7500,-1.29617,"Undecided"
"274","North",15000,"Female","45-54","Primary",35000,-0.82904,"Undecided"
"275","North",15000,"Male","55-64","Primary",7500,-1.19662,"No"
"276","North",15000,"Female","55-64","Primary",7500,-0.0725,"No"
"277","North",15000,"Female","26-34","Secondary",15000,-0.87318,"Yes"
"278","North",15000,"Male","26-34","Secondary",75000,1.55477,"Yes"
"279","North",15000,"Male","18-25","Secondary",15000,-0.5265,"Abstain"
"280","North",15000,"Male","35-44","Primary",15000,1.3766,"Yes"
"281","North",87500,"Female","26-34","Post Secondary",15000,-1.23032,"No"
"282","North",87500,"Female","45-54","Primary",35000,1.22543,"Yes"
"283","North",87500,"Male","65+","Primary",15000,1.40952,"Yes"
"284","North",87500,"Male","18-25","Primary",7500,0.90496,"Undecided"
"285","North",87500,"Female","35-44","Primary",7500,-1.23032,"Yes"
"286","North",87500,"Female","26-34","Primary",7500,0.40561,"Yes"
"287","North",87500,"Male","55-64","Primary",15000,-1.29617,"No"
"288","North",87500,"Male","65+","Primary",15000,-0.13177,"Yes"
"289","North",87500,"Female","35-44","Primary",15000,-0.46162,"No"
"290","North",87500,"Male","26-34","Secondary",35000,-1.00254,"No"
"291","North",87500,"Male","26-34","Primary",15000,-0.93686,"Yes"
"292","North",87500,"Male","26-34","Primary",7500,-0.89725,"No"
"293","North",87500,"Female","26-34","Primary",7500,-1.11878,"Undecided"
"294","North",87500,"Male","35-44","Secondary",15000,-1.29617,"No"
"295","North",87500,"Female","45-54","Primary",7500,-1.23032,"Undecided"
"296","North",87500,"Male","18-25","Secondary",NA,-0.18727,"No"
"297","North",87500,"Female","45-54","Primary",15000,0.21063,"No"
"298","North",87500,"Male","65+","Primary",7500,0.07094,"Abstain"
"299","North",87500,"Female","45-54","Primary",15000,0.51411,"Yes"
"300","North",87500,"Female","26-34","Primary",15000,0.09532,"Abstain"
"301","North",25000,"Male","18-25","Secondary",75000,-1.26552,NA
"302","North",25000,"Female","35-44","Primary",15000,1.17633,"Undecided"
"303","North",25000,"Male","65+","Primary",15000,1.37208,"Yes"
"304","North",25000,"Female","26-34","Primary",35000,1.01672,"Yes"
"305","North",25000,"Female","35-44","Primary",2500,0.05559,"Yes"
"306","North",25000,"Male","18-25","Secondary",7500,0.77841,"Yes"
"307","North",25000,"Female","55-64","Secondary",35000,1.46136,"Yes"
"308","North",25000,"Male","18-25","Secondary",35000,-1.00054,"No"
"309","North",25000,"Male","45-54","Post Secondary",35000,-1.29617,"No"
"310","North",25000,"Female","35-44","Post Secondary",35000,-0.81863,"Undecided"
"311","North",25000,"Female","55-64","Primary",7500,-0.69788,"Abstain"
"312","North",25000,"Female","45-54","Primary",15000,-1.2727,NA
"313","North",25000,"Female","26-34","Secondary",7500,-1.03006,"No"
"314","North",25000,"Male","26-34","Secondary",15000,0.48311,"Abstain"
"315","North",25000,"Male","35-44","Secondary",35000,-1.29617,"No"
"316","North",25000,"Male","35-44","Post Secondary",200000,-0.95913,"Abstain"
"317","North",25000,"Female","18-25","Primary",15000,1.21184,"Yes"
"318","North",25000,"Male","26-34","Secondary",15000,-1.1868,"No"
"319","North",25000,"Female","55-64","Primary",35000,0.53257,"No"
"320","North",25000,"Female","65+","Primary",15000,1.33444,"Yes"
"321","Centre",25000,"Female","35-44","Primary",7500,-0.96154,"Undecided"
"322","Centre",25000,"Male","26-34","Secondary",15000,-0.87595,"No"
"323","Centre",25000,"Female","26-34","Secondary",15000,0.73621,"Yes"
"324","Centre",25000,"Female","55-64","Secondary",15000,-0.78119,"No"
"325","Centre",25000,"Male","45-54","Primary",15000,1.08003,"Undecided"
"326","Centre",25000,"Female","45-54","Primary",15000,0.32158,"Undecided"
"327","Centre",25000,"Male","18-25","Primary",2500,1.03727,"Yes"
"328","Centre",25000,"Male","26-34","Secondary",35000,-1.25795,"No"
"329","Centre",25000,"Male","35-44","Post Secondary",35000,-1.29617,"No"
"330","Centre",25000,"Male","55-64","Secondary",75000,1.51576,"Yes"
"331","Centre",25000,"Female","65+","Primary",15000,-0.52966,"Yes"
"332","Centre",25000,"Female","26-34","Secondary",35000,1.19271,"Yes"
"333","Centre",25000,"Female","26-34","Secondary",7500,-1.29617,"No"
"334","Centre",25000,"Male","45-54","Primary",35000,-1.29617,"No"
"335","Centre",25000,"Male","26-34","Secondary",35000,-0.61861,"No"
"336","Centre",25000,"Female","55-64","Primary",7500,-1.1209,"Abstain"
"337","Centre",25000,"Female","35-44","Primary",15000,-0.36391,"Undecided"
"338","Centre",25000,"Male","55-64","Primary",15000,-1.26325,"No"
"339","Centre",25000,"Male","35-44","Primary",35000,0.08007,"Undecided"
"340","Centre",25000,"Male","26-34","Primary",35000,-1.29617,"No"
"341","Centre",45000,"Female","55-64","Primary",7500,-1.25795,"No"
"342","Centre",45000,"Female","18-25","Primary",7500,-1.29617,"No"
"343","Centre",45000,"Male","18-25","Secondary",35000,-1.29617,"No"
"344","Centre",45000,"Male","18-25","Secondary",35000,-1.19504,"No"
"345","Centre",45000,"Male","55-64","Secondary",35000,-1.14049,"No"
"346","Centre",45000,"Female","26-34","Secondary",75000,-0.30372,"No"
"347","Centre",45000,"Male","35-44","Secondary",75000,-1.21834,"No"
"348","Centre",45000,"Female","26-34","Primary",15000,1.5877,"Yes"
"349","Centre",45000,"Female","35-44","Post Secondary",75000,-1.29617,"No"
"350","Centre",45000,"Male","35-44","Post Secondary",200000,-0.21637,"No"
"351","Centre",45000,"Female","18-25","Secondary",35000,-0.31489,"Undecided"
"352","Centre",45000,"Male","55-64","Post Secondary",35000,1.43772,"Yes"
"353","Centre",45000,"Male","35-44","Secondary",35000,-1.03566,"No"
"354","Centre",45000,"Female","45-54","Primary",15000,1.15628,"Yes"
"355","Centre",45000,"Male","26-34","Secondary",35000,-0.64455,"No"
"356","Centre",45000,"Male","26-34","Secondary",75000,0.66781,"Yes"
"357","Centre",45000,"Female","45-54","Secondary",75000,-0.897,"No"
"358","Centre",45000,"Female","35-44","Secondary",200000,0.99498,NA
"359","Centre",45000,"Female","18-25","Secondary",75000,-0.92939,"No"
"360","Centre",45000,"Male","45-54","Post Secondary",75000,-1.08055,"No"
"361","Centre",62500,"Female","26-34","Secondary",15000,0.66877,"Yes"
"362","Centre",62500,"Male","26-34","Post Secondary",75000,0.77374,"Yes"
"363","Centre",62500,"Female","26-34","Primary",15000,1.25914,"Yes"
"364","Centre",62500,"Female","55-64","Secondary",2500,1.5877,"Yes"
"365","Centre",62500,"Male","65+","Primary",7500,1.59802,"Yes"
"366","Centre",62500,"Female","26-34","Secondary",35000,0.93454,"Yes"
"367","Centre",62500,"Male","18-25","Secondary",15000,-1.06991,"No"
"368","Centre",62500,"Male","65+","Primary",15000,-1.29617,"No"
"369","Centre",62500,"Female","55-64","Primary",7500,-1.10678,NA
"370","Centre",62500,"Female","35-44","Secondary",15000,-1.00007,"No"
"371","Centre",62500,"Male","18-25","Secondary",75000,-0.6626,"Abstain"
"372","Centre",62500,"Male","45-54","Secondary",75000,-1.14103,"No"
"373","Centre",62500,"Female","18-25","Secondary",15000,-1.14361,"No"
"374","Centre",62500,"Female","55-64","Secondary",15000,-1.29617,"No"
"375","Centre",62500,"Female","45-54","Secondary",15000,-1.15092,"No"
"376","Centre",62500,"Male","65+","Primary",15000,-1.29617,"No"
"377","Centre",62500,"Male","18-25","Post Secondary",75000,-1.07977,"No"
"378","Centre",62500,"Female","26-34","Secondary",7500,-1.29617,"No"
"379","Centre",62500,"Female","65+","Primary",35000,-1.29617,"No"
"380","Centre",62500,"Male","18-25","Post Secondary",35000,-1.29617,"No"
"381","Centre",15000,"Male","45-54","Primary",15000,-0.75604,"No"
"382","Centre",15000,"Male","26-34","Primary",7500,0.36202,"Yes"
"383","Centre",15000,"Female","18-25","Secondary",15000,-0.86459,"No"
"384","Centre",15000,"Female","45-54","Primary",7500,-0.72812,"Undecided"
"385","Centre",15000,"Male","35-44","Primary",35000,1.47024,"Yes"
"386","Centre",15000,"Male","65+",NA,7500,-1.1415,"Undecided"
"387","Centre",15000,"Female","18-25","Primary",15000,1.54808,"Yes"
"388","Centre",15000,"Male","18-25","Secondary",35000,-0.98933,"No"
"389","Centre",15000,"Female","45-54","Primary",7500,0.15506,"Undecided"
"390","Centre",15000,"Male","18-25","Primary",35000,-0.99498,"No"
"391","Centre",15000,"Female","26-34","Secondary",35000,0.45262,"Undecided"
"392","Centre",15000,"Male","45-54","Primary",15000,0.18113,"Undecided"
"393","Centre",15000,"Female","35-44","Secondary",7500,-0.75505,"Abstain"
"394","Centre",15000,"Male","26-34","Primary",15000,-0.36182,"Undecided"
"395","Centre",15000,"Female","35-44","Secondary",15000,0.42459,"Yes"
"396","Centre",15000,"Female","35-44","Secondary",35000,0.59831,"Undecided"
